SKU,PRODUCT NAME,VENDOR,COST,PRICE,PROFIT,MARGIN,PRODUCT CATEGORY,OVERALL PRODUCT CATEGORY,SKU - 2
DET3-A-2460-6PY,"2-Sided Adjustable Shelf Truck (3 Shelves) - 24""W x 60""L",Little Giant,$801.72 ,"$1,145.31 ",$343.59 ,30.00%,Carts,"Carts, Hand Trucks & Dollies",DET3-A-2460-6PY
DET3-A-3048-6PY,"2-Sided Adjustable Shelf Truck (3 Shelves) - 30""W x 48""L",Little Giant,$798.54 ,"$1,140.77 ",$342.23 ,30.00%,Carts,"Carts, Hand Trucks & Dollies",DET3-A-3048-6PY
DET3-A-3060-6PY,"2-Sided Adjustable Shelf Truck (3 Shelves) - 30""W x 60""L",Little Giant,$874.14 ,"$1,248.77 ",$374.63 ,30.00%,Carts,"Carts, Hand Trucks & Dollies",DET3-A-3060-6PY
DET4-2448-6PY,2-Sided Shelf Truck (3 Shelves),Little Giant,$692.40 ,$989.14 ,$296.74 ,30.00%,Carts,"Carts, Hand Trucks & Dollies",DET4-2448-6PY
DET4-2460-6PY,"2-Sided Shelf Truck (3 Shelves) - 24""W x 60""L",Little Giant,$767.46 ,"$1,096.37 ",$328.91 ,30.00%,Carts,"Carts, Hand Trucks & Dollies",DET4-2460-6PY
DET4-3048-6PY,"2-Sided Shelf Truck (3 Shelves) - 30""W x 48""L",Little Giant,$760.14 ,"$1,085.91 ",$325.77 ,30.00%,Carts,"Carts, Hand Trucks & Dollies",DET4-3048-6PY
DET4-3060-6PY,"2-Sided Shelf Truck (3 Shelves) - 30""W x 60""L",Little Giant,$856.49 ,"$1,223.56 ",$367.07 ,30.00%,Carts,"Carts, Hand Trucks & Dollies",DET4-3060-6PY
DETO2A-2448-6PY,2-Sided Adjustable Shelf Truck with Open Angle Ends,Little Giant,$693.53 ,$990.76 ,$297.23 ,30.00%,Carts,"Carts, Hand Trucks & Dollies",DETO2A-2448-6PY
DETO2A-2460-6PY,2-Sided Adjustable Shelf Truck with Open Angle Ends - 24 in x 60 in / 1,Little Giant,$732.44 ,"$1,046.34 ",$313.90 ,30.00%,Carts,"Carts, Hand Trucks & Dollies",DETO2A-2460-6PY
DETO2A-3048-6PY,2-Sided Adjustable Shelf Truck with Open Angle Ends - 30 in x 48 in / 1,Little Giant,$722.65 ,"$1,032.36 ",$309.71 ,30.00%,Carts,"Carts, Hand Trucks & Dollies",DETO2A-3048-6PY
DETO2A-3060-6PY,2-Sided Adjustable Shelf Truck with Open Angle Ends - 30 in x 60 in / 1,Little Giant,$779.64 ,"$1,113.77 ",$334.13 ,30.00%,Carts,"Carts, Hand Trucks & Dollies",DETO2A-3060-6PY
DETO3A-2448-6PY,2-Sided Adjustable Shelf Truck with Open Angle Ends - 24 in x 48 in / 2,Little Giant,$767.92 ,"$1,097.03 ",$329.11 ,30.00%,Carts,"Carts, Hand Trucks & Dollies",DETO3A-2448-6PY
DETO3A-2460-6PY,2-Sided Adjustable Shelf Truck with Open Angle Ends - 24 in x 60 in / 2,Little Giant,$823.66 ,"$1,176.66 ",$353.00 ,30.00%,Carts,"Carts, Hand Trucks & Dollies",DETO3A-2460-6PY
